Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 25,1 - 50",1098.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 50,1 - 100",4581.2,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 100,1 - 200",8213.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 200,1 - 500",21227.5,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 500,1 - 1.000",19992.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 1.000,1 - 1.500",12186.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 1.500,1 - 2.000",5371.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 2.000,1 - 2.500",13381.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 2.500,1 - 3.500",6007.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 3.500,1 - 5.000",0.0,06021
