censo,cuadro,provincia,departamento,link,unidad_de_registro,indicador,valor,escala_total
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"200,1 - 500",49,200-500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"500,1 - 1.000",14,500-1.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"1.000,1 - 1.500",12,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"1.500,1 - 2.000",-1,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"2.000,1 - 2.500",-1,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"2.500,1 - 5.000",-1,2.500-5.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"5.000,1 - 7.500",-1,5.000-10.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"7.500,1 - 10.000",0,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"10.000,1 - 20.000",-1,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,EAP,"20.000,1 y más",0,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,Total,85818.7,Total
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,0 - 5,7,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"5,1 - 10",33.5,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"10,1 - 25",213,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"25,1 - 50",1098.1,25-50
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"50,1 - 100",3992.6,50-100
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"100,1 - 200",4592.4,100-200
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"200,1 - 500",16030.6,200-500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"500,1 - 1.000",10170,500-1.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"1.000,1 - 1.500",14737,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"1.500,1 - 2.000",-1,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"2.000,1 - 2.500",-1,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"2.500,1 - 5.000",9095.5,2.500-5.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"5.000,1 - 7.500",-1,5.000-10.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"7.500,1 - 10.000",0,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"10.000,1 - 20.000",-1,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Alberti,06021,Hectáreas,"20.000,1 y más",0,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,Total,46,Total
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,0 - 5,28,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"5,1 - 10",7,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"10,1 - 25",6,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"25,1 - 50",-1,25-50
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"50,1 - 100",3,50-100
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"100,1 - 200",0,100-200
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"200,1 - 500",-1,200-500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"500,1 - 1.000",0,500-1.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"1.000,1 - 1.500",0,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"1.500,1 - 2.000",0,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"2.000,1 - 2.500",0,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"2.500,1 - 5.000",0,2.500-5.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"5.000,1 - 7.500",0,5.000-10.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"7.500,1 - 10.000",0,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"10.000,1 - 20.000",0,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,EAP,"20.000,1 y más",0,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,Hectáreas,Total,845.2,Total
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,Hectáreas,0 - 5,67.5,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,Hectáreas,"5,1 - 10",54.7,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,Hectáreas,"10,1 - 25",87,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Almirante Brown,06028,Hectáreas,"25,1 - 50",-1,25-50
